Comment
Masha Allah subhan Allah
Very nice by Aziz Sb
جي عزيز ميان جي تمام بھترين
I had the good fortune of meeting Aziz Mian saab at his home and seeing him perform. He was a very warm and welcoming man. He left a lasting impression. A qawwal in the true tradition. Allah swt grant him jannat al firdous.Ameen
Jitnay bhi bare bare legend hain taqreban ka talluq karachi se hy.. mashaAllah
اتفاق سے آج میاں صاحب کی قوالیاں چیک کر رہا تھا تو دبا کے چل دیئے سامنے آئ جو میں قریب قریب بھول چکا تھا کہ میری پسندیدہ میں سے ایک ہے سننے سے واقعی رونگٹے کھڑے ہو گے 
Inna lillahi wa inna llayhi Raaji'oon
Legend Pro Ultra Max  Aziz mian
I am bigist fan of Hazrat Aziz Mian R.A from my childhood.Allah Pak apki maghfirat farma kar janat ul firdos mein alla muqam atta farmaye. Ameen.  KING OF QAWALI ALL TIME 
صدیوں کے بعد عزیز میاں پیدا ھوتا ھے آللہ سبحآن تعآلی آنھیں جنت آلفردوس میں آعلی مقام عطآفرمآئے آمین
"Lion of kabbali
Aziz miya shaab"
بـــہت خـــوبصورت اور پــسـندیدہ تــرین 
"इश्क़ का राज़ समझते हैं समझने वाले
मौत से पहले ही मर जाते है मरने वाले

अमीर चिश्ती"
Dabaa k chl diye....kmaal
"Marne wala qabar mei kya chain paaye baad e dafan Maut ne dunya se dono rukh dikhaye baad e dafan Muthiyon mein khaak le ker dost aaye baad e dafan Zindagi bhar ki mohabbat ka sila dene lage... kya Daba ke chal diye, daba ke chal diye, daba ke chal diye........."
Is masterpiece ko shabdo me byan nahi kiya jaa sakta
Daba ke chal diye  like and subscribe.... 16mint bhi bahut chhota laga....daba ke chal diye!! 
Mast kar diya.. .
بہت خوب کیا کہنے واہ رے واہ
very nice
"پڑھی نماز جنازے کی میری غیروں نے
مرے تھے جن کےلیئے وہ رہے وضو کرتے"
بہت خوبصورت کلام کہا ہے کہ انسان کو اس کی پہچان کرا دی ہے۰
"Bhut he umda 
Very nice "
محترم عبدالعزيز مياں قوال کے قبروں میں الله نور کی بارش کرئے  عزیز میاں قوال کا جئسا اور کوئی قوال پیدا ہوا نا کوئی ہوگا
کمال شخصیت تھے۔۔عزیز میاں۔
"پڑھی نماز جنازے کی میری غیروں نے
مرے تھے جن کے لئے وہ رہے وضو کرتے"
"2021 me kon kon sun raha hai like 
Kare.. Like"
The Ultimate King Of Qawali
Roz chalti rahi gi ye video 
"Mere dada abse 38 saal pehle inko suna karte the radio par har juma ko program aata tha aziz miya sahib ka 
I am from India"
"My mother's favourite verse--
دبا کر چل دئے نہ دعا نہ سلام
ذرا سی دیر میں کیا ہوگیا زمانے کو"
Almighty Allah give high rank in janat ul Firdous to all those Muslims who died especially to those who left no inheritor behind them for prayers including my nearby relatives/sub continent Muslim Artists also. Ameen
Allaha bless on Aziz mian he described true facts on humanity
Allah pak Aziz miya ki maqfirat kare Amin summa Amin
Allah magfirat farmy ameen 
ماشاءاللہ ماشاءاللہ ماشاءاللہ بسمہ اللہ مزہ آ رھا
2024 ma kon kon sun raha hai 
Shehensha-e-Qawwal Aziz Mian Sahab The Great!
"Meri umr 17 he or is dour 2023 me inhe sunta hu
Karam bna rhe"
Still loving in 2025 zandgai bar ka silla dany lagy kia Daba ka chal die …!!
"دبا کے قبر میں سب چل دیئے دعا نہ سلام 
ذرا سی دیر میں کیا ہو گیا زمانے کو

19:09:21  09:53 pm"
This world will never have anyone like him again
Allah Aziz miyan ko jannatul firdous me aala muqaam ata farmaye.ameen
"سلام ہے جناب آپ کی روح پہ........
عزیز سر جیسا کوئی نہ تھا نہ ہے نہ ہوگا!"
عمدہ کلام اور شیریں آواز  ،،کیا بات ہے واہ واہ
This is masterpiece for sure  listing in 2023
Ustad Qamar Jalalvi
Kash isko mai dobara pehli bar sun sakta
الله کریم اپنے فضل وکرم سے تاریخ ساز شخصیت عزیز میاں مرحوم کی مغفرت فرمائے دنیا میں رہ کر ان سے جو بھی فرائض واجبات سنت اور مستحبات چھوٹ گئے انھیں معاف اور درگزر فرمائے اپنے جوار رحمت میں جگہ عطا فرمائے آمین
Fantastic kya qawwali he legend  aziz mian  legend legend gazab
20 saal ke baad sunne k baad purani yaad taza hogai thanks for uploading 
JazakAllah meri Farmaish the sub se phele
Love you from India. Azeez Miya a legend 
"तीन ताल  ...
जय हो..जय हो.....
जय हो....जय..."
"I think he is not a Aziz main .
I think he is a legend and his full name is 
Ustad Aziz main..."
legend neverdie
"عزیز میاں صاحب جیسا نا کوئی تھا نا ہے
یہ تو شاہنشاہ قوال ہیں"
سدا بہار ۔۔۔ خدا غریقِ رحمت کرے مرحوم کو۔
Evergreen qawali he  07-12-2021 me sunra hu
استاد قمر جلالوی کا کلام اور  مرحوم عزیز میاں  کی آواز ماشاءاللہ بہت بہت خوب
12/feb/2024  ko sun raha hun  pakistan se orr me 2015. Me japan may sunta tha love hay apkay leya 
کیا کہنے واہ
waha waha Aziz miya. aap ka koi shani nhi he 
na koi hua na hoga Aziz Miyan jaisa . uploading ke liye shukriya
Very very nice video khubsurat bahut acchi kya baat superhit
Bhut khubsurat sher bola h ...aziz main ji ne ....9:15 se chalu h
Daba ke chal diye true line
"السلام و علیکم 
تمام اہل اسلام کو عید میلاد النبی صلی اللہ علیہ وآلہ وسلم کی خوشیاں بہت بہت مبارک ہوں 
دعا ہے اللہ رب العزت حضور سرور کائنات صلی اللہ علیہ وآلہ وسلم کی ولادت کے صدقے امت مسلمہ کی مشکلات میں آسانی پیدا فرمائے آمین ثم آمین"
Aziz Mian zindabaad
Best chanel thanks bro 
آۓ ہاۓ سبحان اللہ 
Love teen taal brought me here
1983 سے سن رہا ہوں نسیم صبح گلشن میں گلوں سے کھلتی ھو گی  تقریبا ہر رات کو سنتا ہوں اللہ پاک ان کو جنت الفردوس میں اعلی مقام عطا فرمائے آمین
Allah pak jannat m Aalah mqam ata kry Aziz mian ko my favorite qawal
"ALLAH APNE MAHBOOB KE SADQUE TUFAIL MEIN,AZIZ Sb,KO JANNATULFIRDOS ATA FARMAYE.(AAMEEN)"
The line : *Insan Azim hai. Nai nai Past hai.* 11:47
Parhi namaz e janaza meri gheiroun ne. Maray thei jinke liyay wo rahay wazoo karte 
No matter how much you listen Listening to always sounds good
Aziz mian is one of the rare diamond in thiz world ...His voice isss tooooooo goooooodHeart touching lines & voice
First i thought k koi like funny qawali hai but today i'm listening it and i'm totally wrong man the words of this qawal is amazing
Waaah kiya baat hai daba ke chal diye zindagi bhar ki mhobbat ka sila dene lge
میاں صاحب ، ایک عارف بالحق قوال تھے ، جن کو ذات کا عرفان ہوگیا تھا ۔
Kon Kon Sun rha Aaj Bhi Isko like kre 
Me kiya kahu es gazal ko bas mere paas shabd nahi h keh ne ko mujhe bohot bohot pasand aayi 
